artsy_id,artsy_slug,artsy_url,name,type,definition
4e60387ce890b10001268166,middle-east,http://artsy.net/gene/middle-east,Middle East,Broad Geographic Region,"Artists who are from or have lived in the Middle East, which includes Bahrain, Egypt, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, Palestinian territories, Qatar, Saudi Arabia, Syria, United Arab Emirates and Yemen. "
4e6032e6e890b10001225722,western-europe,http://artsy.net/gene/western-europe,Western Europe,Broad Geographic Region,"Artists who are from or who have lived in the geographic region of Western Europe, which includes Andorra, Austria, Belgium, Denmark, Finland, France, Germany, Greece, Iceland, Ireland, Italy, Liechtenstein, Luxemborg, Monaco, Netherlands, Norway, Portugal, Spain, Sweden, Switzerland, and the United Kingdom."
51f83461275b249051000294,arts-of-africa-oceania-and-the-americas,http://artsy.net/gene/arts-of-africa-oceania-and-the-americas,"Arts of Africa, Oceania, and the Americas",Broad Geographical Style/Movement,"A standard museological category for traditional art and architectural works made by indigenous artists from the geographic regions of Africa, the pre-Columbian Americas, Australia, and the islands of the South Pacific. The term and the treatment of objects described as such have a controversial history, as many non-Western art objects have been treated as archeological, rather than art historical, artifacts, appearing in natural history museums to this day. Efforts to include this artwork in international exhibitions began in the 1980s with such exhibitions as 1984’s “Primitivism,” at the Museum of Modern Art, New York, in which traditional African objects were placed alongside the 20th-century European works they influenced, including those by [Pablo Picasso](/artist/pablo-picasso) and [Max Ernst](/artist/max-ernst). The 1989 exhibition “Magiciens de la Terre,” at Centre Pompidou, Paris, sought to remedy the Eurocentrism surrounding modern art through a balanced presentation of artists spanning all continents but received criticism for its treatment of African and Oceanic artists. Today artists rarely identify with these blanket categories, instead opting for more accurate and specific terms like Native American, Alaska Native and First Nations, Micronesian, Polynesian, or any of the 54 countries and nationalities or hundreds of ethnic groups in the continent of Africa.
"
51f7df77275b246a330002fc,greek-and-roman-art-and-architecture,http://artsy.net/gene/greek-and-roman-art-and-architecture,Greek and Roman Art and Architecture,Broad Geographical Style/Movement,"The art and architecture of ancient Greece and Rome played a foundational role of the history of Western art, establishing numerous key concepts, techniques, and styles that artists in the subsequent millennia have revisited and responded to in countless ways. These include precise techniques for carving and casting free-standing sculptures and the undertaking of large-scale urban building projects, which stemmed from access to and the skilled use of materials ranging from marble to bronze to concrete. “Man is the measure of all things” was a central maxim in Greek culture, and as such, Greek artists scrutinized human forms closely to create idealized Classical figures. They also presented detailed depictions of mythological narratives, which often accentuated the human traits of the pantheon of gods. Roman artists borrowed heavily from these narratives, while contributing many of their own. These developments in art were accompanied by new forms of political life, most notably the form of democracy that emerged in Athens and reached its height during the 5th century BC (the Parthenon was built 447-432 BC). Athens and its neighbors in the eastern Mediterranean participated in a seafaring culture that resulted in a great amount of cultural and economic exchange. Under the Roman Empire (27 BC-395 AD), territories stretching from the present-day Middle East to Scotland were brought under centralized rule. Beginning in the 4th century, cultural and political power shifted to the east of the empire, with Constantinople becoming the capital in 330 and much of the western territory falling into the hands of northern European conquerors thereafter. Around this time, Christianity began to supplant pagan religion—at first persecuted by the state but in the 4th century becoming the official religion under Constantine, which led to the growth of a new body of iconography that would flourish in [Byzantine Art](/gene/byzantine-art)."
4d9396db17cb13253700048a,renaissance,http://artsy.net/gene/renaissance,Renaissance,Broad Geographical Style/Movement,"European art created between the 14th and 16th centuries that drew inspiration from ancient Greek and Roman cultures. The term refers to the renewed effort of artists to achieve exact representations of nature and idealized forms of the human body, which radically departed from the appearance of art and architecture of the preceding Middle Ages. While the [Early Renaissance](/gene/early-renaissance) period in Italy drew from Byzantine aesthetics, the [High Renaissance](/gene/high-renaissance) returned to forms from classical antiquity. This shift was due in part to the development of oil paint in Netherlandish regions and the growing trade of information throughout Europe. In addition to new painting techniques, artists turned toward other areas of study, such as the sciences (which, as a result, also experienced a renewed enthusiasm) and scientific ideas regarding perspective.
"
53d031a8726169448dc30000,downloadable-images,http://artsy.net/gene/downloadable-images,Downloadable Images,Broad Medium,"These images are downloadable for free and may be used independently for teaching, study, and other purposes. Please see [here](https://artsy.net/post/christine-downloading-images-on-artsy) for more detailed information about Artsy's downloadable images."
52780b35275b24061c000342,french-design,http://artsy.net/gene/french-design,French Design,Broad Medium,
5278120b275b2439e3000393,glass-and-ceramics,http://artsy.net/gene/glass-and-ceramics,Glass & Ceramics,Broad Medium,
509854bad7d0430002000025,intaglio,http://artsy.net/gene/intaglio,Intaglio,Broad Medium,"Most likely developed from the decoration of precious metals in medieval times (and with its named derived from the Italian  intagliare, or “to cut into”), intaglio printmaking refers to all printmaking in which an acid or pointed tool is used to incise a metal matrix generally composed of copper, iron, steel, or zinc. The plate is then inked and printed under pressure, forcing the paper into the recessed areas and picking up the ink resulting in characteristically raised lines. Intaglio techniques include [etching, engraving](/gene/etching-slash-engraving), aquatint, photogravure, mezzotint, and drypoint; oftentimes used  in combination, these techniques can produce variations in both tone and contrast, as seen in this [intaglio print](/artwork/francisco-de-goya-figures-dancing-in-a-circle-from-los-disparates) by Francisco Goya.
"
4d90d193dcdd5f44a500007e,portrait,http://artsy.net/gene/portrait,Portrait,Broad Medium,"_""I would wish my portraits to be of the people, not like them. Not having a look of the sitter, being them.” —[Lucian Freud](/artist/lucian-freud)_

Though portraits are generally defined as representations of real individuals intended to capture a likeness, as Freud aptly expresses in the quote above, there is more to a portrait than an exact replication of the subject’s facial features. One of the oldest traditions in art, portraiture has served a variety of purposes, from recording appearances and acting as commemorative gifts, to asserting power. Early portraits preserved likenesses of men after their death, as in Egyptian sarcophagi, death masks, and other [funerary objects](gene/funerary-object). In the [Greek](gene/greek-art) and [Roman](gene/roman-art) periods, statues and coins featured faithful depictions of rulers and distinguished individuals—a convention that was revived during the [Renaissance](gene/renaissance) and after by artists like [Hans Holbein the Younger](artist/hans-holbein-the-younger), [Rembrandt van Rijn](artist/rembrandt-van-rijn) and [Jean-Auguste-Dominique Ingres](artist/jean-auguste-dominique-ingres). These artists emphasized the subject’s pose, dress, and setting to convey a sense of individual identity or even inner psychology. More than any work, [Leonardo da Vinci](artist/leonard-da-vinci)’s Mona Lisa proved that beyond physical likeness, it is often the portraits' intangible essence—possibly the sitter’s thoughts or the stories around the work—that captivates viewers for hundreds of years after their creation."
5058f057d0c2eb4f3200030d,prints,http://artsy.net/gene/prints,Prints,Broad Medium,"A general category for works, typically on paper, that consist of an impressed or stamped image. Printmaking incorporates a large number of techniques and processes, such as [etching, engraving](/gene/etching-slash-engraving), [intaglio](/gene/intaglio), [woodcut](/gene/woodcut-slash-linocut), and more recently, various photomechanical processes. The art form has a long and rich history in numerous artistic traditions. Woodblock printing is believed to have been invented in China in the seventh century and to have spread to Korea and Japan in the following centuries. In the West, devotional woodcut prints appeared beginning in the early 15th century in northern Europe. Since then, prints have been used to numerous ends, from Antonio Pollaioulo’s exploration of the nude form in motion to [Henri de Toulouse-Lautrec](/artist/henri-de-toulouse-lautrec)’s Parisian nightlife posters and [Francisco de Goya](/artist/francisco-de-goya)’s ""Caprichos"", which indicted the follies of European society. Contemporary artists like [Wade Guyton](/artist/wade-guyton) continue to experiment with new forms of printmaking.
"
51aca202700006a03a000027,seating,http://artsy.net/gene/seating,Seating,Broad Medium,"A category for things that are created to be sat on. Among the types of seating are [chairs](/gene/chair), [armchairs](/gene/armchair), folding chairs, recliners, seats, saddles, [stools](/gene/stool), wheelchairs, swings, couches, [sofas](/gene/sofa), settees, loveseats, and [benches](/gene/bench). Throughout human history, an almost infinite variety of approaches have been taken to design and fashion the appearance of seating. While complexly designed chairs date to as early as ancient Egyptian and Greek cultures, formal seating (for example, a chair as opposed to a bench or stool) was rarely used by ordinary people in Western Europe until the 16th century. Importantly, not all cultures prioritize chairs or any type of constructed seating. For example, prior to the 20th century, Japan had a long history of sitting on the floor."
4de57c1b2613fc000100a966,traditional-scroll-painting,http://artsy.net/gene/traditional-scroll-painting,Traditional Scroll Painting,Broad Medium,"Chinese, Korean, or Japanese paintings, often depicting landscapes or scenes from daily life or literary or historic narratives and generally created using an ink brush on scrolled paper, although the methods, styles, and materials varied widely according to region."
505643a07f3276000200030e,19th-century-american-art,http://artsy.net/gene/19th-century-american-art,19th Century American Art,Broad Subject Area,"A general category for artworks made in the United States between 1800 and 1900. While until 1820 American art was largely derivative of European styles, [Thomas Cole](/artist/thomas-cole) and the [Hudson River School](/gene/hudson-river-school) would develop a distinctive style of painting that highlighted the American landscape, a subject that was later explored and imbued with nationalist themes by [Albert Bierstadt](/artist/albert-bierstadt) during his travels through the American West. The realism of [Thomas Eakins](/artist/thomas-eakins) and [Winslow Homer](/artist/winslow-homer) sought to convey democratic values with subtly heroic images of American life; [Albert Pinkham Ryder](/artist/albert-pinkham-ryder) and [Henry Ossawa Tanner](/artist/henry-ossawa-tanner), on the other hand, were less nationalistic, often imbuing Biblical subject matter with a mystical quality in their Symbolist style. [Mary Cassatt](/artist/mary-cassatt) and [John Singer Sargent](/artist/john-singer-sargent), both known for their intimate late-19th-century portraits, painted society subjects on both sides of the Atlantic. During the same time, [Timothy O’Sullivan](/artist/timothy-h-osullivan) developed unique styles of documentary and landscape photography, while socially motivated [Jacob Riis](/artist/jacob-august-riis) trained his lens on New York City tenement life. In architecture, the revivalist styles of [Neoclassicism](/gene/neoclassicism) and Neo-Gothic were used in the construction of monuments in the early half of the century, while the latter saw the development of industrial techniques for building skyscrapers, most notably from the Chicago School.
"
5074a1e2e6df1f0002001ac2,19th-century-american-paintings-and-works-on-paper,http://artsy.net/gene/19th-century-american-paintings-and-works-on-paper,19th Century American Paintings and Works on Paper,Broad Subject Area,"The evolution of styles in 19th-century American art captured the development of the country itself—from young, rural republic to international superpower. Influenced by the [Romantics](/gene/romanticism), [Thomas Cole](/artist/thomas-cole) and the [Hudson River School](/gene/hudson-river-school) (the first homegrown American movement) celebrated nature and expanse in dramatic fashion in the early-mid century, their canvases an expression of American pride. Watercolor also gained new currency among serious painters, becoming a technique that would thrive in the last quarter of the century. By the 1860s and after the devastating Civil War, painters like [Winslow Homer](/artist/winslow-homer) and [Thomas Eakins](/artist/thomas-eakins) emphasized the dark and austere realism of everyday scenes in their work, responding also to the dominant style of European academies. This tradition of emulation continued in the 1870s and '80s with the [American Impressionists](/gene/american-impressionism), working outdoors to render hazy landscapes with broad brushwork. Likewise, [Tonalism](/gene/tonalism)—a progressive movement of transcendentalists—treated nature expressively, even mysteriously, with a spiritual underpinning. At the close of the century, artists brilliantly showcased the wealth and opulence of turn-of-the-century Gilded Age society, though they never entirely strayed from classically American outdoor scenes. From the richly textured portraits of [John Singer Sargent](/artist/john-singer-sargent) and stylized subjects of [James Abbott McNeill Whistler](/artist/james-abbott-mcneill-whistler), to Homer’s windswept landscapes, American art showcased both sophistication and the vast and fruitful American landscape.
"
50356574ab74980002000007,20th-century-art,http://artsy.net/gene/20th-century-art,20th Century Art,Broad Subject Area,"Arguably the most eventful period in the history of art, the 20th century witnessed the birth (foreshadowed at the end of the 19th century) and outgrowth of abstraction, along with innumerable movements that came and went amidst radical changes across the globe. Some of most influential modern and contemporary art movements and developments of the century include [Fauvism](/gene/fauvism), [Cubism](/gene/cubism), [Futurism](/gene/futurism), [Dada](/gene/dada), [Surrealism](/gene/surrealism), [Abstract Expressionism](/gene/abstract-expressionism), [Pop Art](/gene/pop-art), [Minimalism](/gene/minimalism), [Conceptual Art](/gene/conceptual-art), [Photorealism](/gene/photorealism), and [Neo-Expressionism](/gene/neo-expressionism)."
51a7a5ea8b3b8149fb0002eb,20th-century-design,http://artsy.net/gene/20th-century-design,20th Century Design,Broad Subject Area,"The 20th century was defined by industrial advancements and technological leaps: the invention of the automobile, the airplane, the internet, and modern means of warfare (including nuclear power) created radically new ways of living and moving, all of which 20th century design responded to. The “machine age” of the 1920s brought about a new industrial and design culture in the U.S. and Europe, fueled by mass production and the invention of new man-made materials. Designers like [Le Corbusier](/artist/le-corbusier), [Gerrit Thomas Rietveld](/artist/gerrit-thomas-rietveld), and [Marcel Breuer](/artist/marcel-breuer) employed multi-functionality, modularity, and the unadorned, streamlined forms of tubular steel in their furniture. In the wake of WWII, the American Studio Crafts Movement (practiced by furniture-designers [George Nakashima](/artist/george-nakashima) and [Wendell Castle](/artist/wendell-castle)) and American Mid-century Design (led by [Frank Lloyd Wright](/artist/frank-lloyd-wright) and [Charles and Ray Eames](/artist/charles-and-ray-eames), among others) responded to the atrocities of wartime and the modern tendency towards standardization and mechanization with a more humanist approach to design, embracing natural materials, the particularities of the handmade object, and experimentation with the sculptural and formal possibilities of household objects. Design in the 1960s and '70s was shaped by a Deconstructivist impulse epitomized by architect [Frank Gehry](/artist/frank-gehry), as well as the playful experimentation with extruded and colored plastics. In the 1990s designers harnessed new materials and capabilities—from 3D-printing to fiberoptics—to create technologically advanced visions of the functional object.
"
4f564399848eb21efd084377,american-prints-1880-1950,http://artsy.net/gene/american-prints-1880-1950,American Prints 1880-1950,Broad Subject Area,
4f79f19a3e29b2000100007e,american-sculpture-1830-1950,http://artsy.net/gene/american-sculpture-1830-1950,American Sculpture 1830-1950,Broad Subject Area,A general category that comprises sculptures created by American artists between 1830 and 1950.
4f5643923d77850001000f88,american-works-on-paper-1880-1950,http://artsy.net/gene/american-works-on-paper-1880-1950,American Works on Paper 1880-1950,Broad Subject Area,"A general category that comprises drawings, prints, and paintings,​ as well as mixed media on paper, created by American artists between 1880 and 1950."
50356575ab74980002000009,art-of-the-1960s,http://artsy.net/gene/art-of-the-1960s,Art of the 1960s,Broad Subject Area,"One of the most significant decades in 20th-century art, the 1960s saw the rise of [Pop Art](/gene/pop-art), [Op Art](/gene/op-art), [Minimalism](/gene/minimalism), [Conceptual Art](/gene/conceptual-art), [Performance Art](/gene/performance-art), and [Feminist Art](/gene/feminist-art), among countless other styles and movements. Among the leading artists of the period—many of whom continue to influence contemporary artists today—are [Andy Warhol](/artist/andy-warhol), [Bridget Riley](/artist/bridget-riley), [Donald Judd](/artist/donald-judd), [Robert Morris](/artist/robert-morris), [Sol LeWitt](/artist/sol-lewitt), [Vito Acconci](/artist/vito-acconci), and [Judy Chicago](/artist/judy-chicago)."
50356575ab7498000200000a,art-of-the-1990s,http://artsy.net/gene/art-of-the-1990s,Art of the 1990s,Broad Subject Area,"The robust art market of the 1980s was devastated in the wake of a stock market crash in 1987 and a severe recession in the early '90s. As a result, at the beginning of the decade, artists tended to look more outside the art world for their subject matter, which ranged from current issues such as the AIDS crisis, gun control, and homelessness to often-charged explorations of class, race, gender and sexual identity. This coincided with an emerging notion of artist as a kind of ethnographer, as well as an exploration of broken or grotesque bodies and identities, by the likes of [Paul McCarthy](/artist/paul-mccarthy) and [Kiki Smith](/artist/kiki-smith). The most recognized movement of the decade, the [Young British Artists (YBAs)](/gene/young-british-artists-yba), rose to international recognition through ambitious and provocative works such as [Rachel Whiteread](/artist/rachel-whiteread)'s _House_ and [Damien Hirst](/artist/damien-hirst)'s formaldehyde-encased animals, highlighted in the exhibition, ""Sensation"". In the 1990s, video art became more and more influential, especially due to works like [Matthew Barney](/artist/matthew-barney)'s _Cremaster Cycle_ and large-scale video installations by artists such as [Doug Aitken](/artist/doug-aitken). Concurrently, artists (like [Andreas Gursky](/artist/andreas-gursky) and [Jeff Wall](/artist/jeff-wall)) used the increasingly sophisticated tools of photo-manipulation to blur the lines of fact and fiction (or make a more perfect reality)."
5037a04ac912fa0002000009,art-since-2000,http://artsy.net/gene/art-since-2000,Art Since 2000,Broad Subject Area,"Over the past decade, art has taken an incredible variety of forms. One particular tendency of the present moment involves co-opting the public sphere (both analogue and digital) as a venue for artistic interventions, which has blurred the distinctions between artist, curator, and activist. Ambitious public projects such as [Olafur Eliasson](/artist/olafur-eliasson)’s _Waterfalls_ coexist with increasing interest in [street art](/gene/street-art) and [DIY practice](/gene/contemporary-diy). [Christian Marclay](/artist/christian-marclay)’s _[The Clock](/artwork/christian-marclay-the-clock)_ combines rigorous archival research with an interest in the history of popular media, while socially-engaged practice has garnered both popular participation and official sanction, ranging from [Carsten Höller](/artist/carsten-holler)’s spectacular installations to Pussy Riot’s political actions. Amidst the diversity of contemporary art though it is easy to forget the long-standing traditions of painting and sculpture remain central to artistic production. "
53eaa0b772616910d0180000,asian-art,http://artsy.net/gene/asian-art,Asian Art,Broad Subject Area,"A general category for art made in Asia, which includes Central, East, and Southeast Asia."
52f007c19c18db79100005cd,beijing-artists,http://artsy.net/gene/beijing-artists,Beijing Artists,Broad Subject Area,"Artists historically based in or currently living and working in Beijing, China. "
50c7c92d729f21db57000922,berlin-artists,http://artsy.net/gene/berlin-artists,Berlin Artists,Broad Subject Area,"Artists historically based in or currently living and working in Berlin, Germany. "
50c7ca036ed95447250009d8,brooklyn-artists,http://artsy.net/gene/brooklyn-artists,Brooklyn Artists,Broad Subject Area,"Artists historically based in or currently living and working in Brooklyn, New York. "
50538adfcb21bb0002000533,california-art,http://artsy.net/gene/california-art,California Art,Broad Subject Area,"Artists have flocked to California since the 1840s, but it was not until after World War II that the state gained internationally renown as an art center. Major post-war art movements associated with California include the [Light and Space Movement](/gene/light-and-space-movement) and [Bay Area Figurative](/gene/bay-area-figurative-art) art, and artists consistently identified with the state include [Wayne Thiebaud](/artist/wayne-thiebaud), [Ed Ruscha](/artist/ed-ruscha), [Robert Irwin](/artist/robert-irwin), and [Richard Misrach](/artist/richard-misrach). The 2011-12 exhibition ""Pacific Standard Time"" was a major effort by institutions across California to cement the state's presence in postwar American art history.
"
50537fb6b3c6bd000200048b,contemporary-african-art,http://artsy.net/gene/contemporary-african-art,Contemporary African Art,Broad Subject Area,"A general category for post-1970 work by artists from Africa. Contemporary African artists who grew up in the 1960s and '70s experienced a period of substantial change and upheaval, as many African nations declared independence from their colonial rulers. Drawing on these histories and looking at life in a post-colonial era, these artists have dealt with a range of issues—such as national identity, economic disparity, and public health—in a wide array of styles and mediums."
53863e3a1a1e86845300031a,contemporary-art,http://artsy.net/gene/contemporary-art,Contemporary Art,Broad Subject Area,
504fb994f7bd350002000372,contemporary-asian-art,http://artsy.net/gene/contemporary-asian-art,Contemporary Asian Art,Broad Subject Area,"A general category for art made since roughly 1980 in Central, East, and Southeast Asia. While the worldwide proliferation of biennials, fairs, and contemporary art museums has made the boundaries between regions more porous, Asia continues to sustain an extreme breadth of traditional practices. The rapid economic transformations of recent decades have had a significant impact on artists' works, manifest in a variety of styles including 1990s [Political Pop](/gene/political-pop) in China, [Takashi Murakami](/artist/takashi-murakami)’s highly commercialized practice, or Indian artist [Subodh Gupta](/artist/subodh-gupta)’s monumental installations made from everyday objects. More direct political practice and performance have also been dominant tendencies of the last 20 years, the best known example being Chinese artist [Ai Weiwei](/artist/ai-weiwei), who has become internationally recognized for his activist critique of state policy.
"
504f7335de9164000200041a,contemporary-british-art,http://artsy.net/gene/contemporary-british-art,Contemporary British Art,Broad Subject Area,"Since the mid-1990s, Britain has been at the center of the international art world. The root of this was arguably the emergence of the [Young British Artists (YBAs](/gene/young-british-artists-yba)), first identified through [Damien Hirst](/artist/damien-hirst)’s 1988 ""Freeze"" show and internationally recognized via the Royal Academy’s ""Sensation"" exhibition (which subsequently traveled to the Brooklyn Museum). Countless artists and art movements have followed the energy and influence of this initial group, which included Hirst, [Gary Hume](/artist/gary-hume), and [Tracey Emin](/artist/tracey-emin), and whose practices are generally characterized by a fusion of [Minimalism](/gene/minimalism) and [Conceptualism](/gene/conceptual-art) with “sensational” content.
"
525ebeeea09a67aeb5000167,contemporary-canadian-art,http://artsy.net/gene/contemporary-canadian-art,Contemporary Canadian Art,Broad Subject Area,
4e2dc9442ccd3c000100404d,contemporary-ceramics,http://artsy.net/gene/contemporary-ceramics,Contemporary Ceramics,Broad Subject Area,"Ceramics made by contemporary artists, many of whom regard the medium&mdash;traditionally considered a craft and outside the domain of high art&mdash;as progressive, challenging, and in some cases avant-garde."
