id,slug,gene name,gene family,description,automated?
4d90d18edcdd5f44a500000f,mixed-media,Mixed-Media,Medium and Techniques,"A general label for artworks made from more than one material. Combining materials—especially those associated with different mediums, such as painting and sculpture–is closely associated with a number of important developments in Modern art. [Cubist](/gene/cubism) collages, [Marcel Duchamp](/artist/marcel-duchamp)'s readymades, and [Dada](/gene/dada) assemblage formed key precedents for later generations working in mixed-media. Notably, [Robert Rauschenberg](/artist/robert-rauschenberg) and [Jasper Johns](/artist/jasper-johns)—commonly associated with [Neo-Dada](/gene/neo-dada)—were instrumental in including different media on the painted canvas in the 1950s and '60s. [Installation](/gene/installation), which emerged in the 1960s, continues to be a major practice in contemporary art and often includes a range of media. Central to many contemporary mixed-media works is the inclusion of materials that fall far outside the accepted mediums of art; a commonly-cited example is [Damien Hirst](/artist/damien-hirst)'s provocative use of dead animals in his sculptures.
",FALSE
4d90d18edcdd5f44a500000e,installation,Installation,Medium and Techniques,"A three-dimensional artwork meant to transform a viewer's experience of an interior space, through a combination of mediums, interactivity, and immersive elements.",FALSE
4d90d190dcdd5f44a5000033,barbizon-school,Barbizon School,Styles and Movements,"A group of French landscape artists active in the 1830s to the 1870s who eschewed the classical conventions of [Claude Lorraine](/artist/claude-gellee-called-claude-lorrain) and [Nicolas Poussin](/artist/nicolas-poussin) and instead emulated 17th-century Dutch landscape painters and [John Constable](/artist/john-constable). Although often considered a transitional movement between classical 18th-century landscape painting and Impressionism, this group is important in its own right as the first to focus strictly on nature. Barbizon paintings are also antiheroic, unpretentious, and painted in a simplified manner.",FALSE
4d90d190dcdd5f44a5000037,body-art,Body Art,Styles and Movements,"The use of the human body as the basis for performance art by such practitioners as [Vito Acconci](/artist/vito-acconci), [Marina Abramovic](/artist/marina-abramovic), [Chris Burden](/artist/chris-burden), and the Vienna Actionists. Characterized by transgression, violence, and endurance, the practice began in the 1960s and 1970s, with connections to [Marcel Duchamp](/artist/marcel-duchamp)’s performative works, [Jackson Pollock](/artist/jackson-pollock)’s painting process, and Allan Kaprow’s 1960s [Happenings](/gene/happenings).",FALSE
4d90d191dcdd5f44a5000053,mexican-muralism,Mexican Muralism,Styles and Movements,"A movement, inspired by the idealism of the Mexican Revolution, that stressed the country’s indigenous, pre-European history and culture. The works were typically political, epic in scope, and executed in public places to increase the Mexican people’s awareness of and pride in their heritage. The best-known muralists are [José Clemente Orozco](/artist/jose-clemente-orozco) and [Diego Rivera](/artist/diego-rivera)",FALSE
4d90d190dcdd5f44a5000049,group-zero,Group Zero,Styles and Movements,"A movement, forged in the late 1950s by the German artists [Otto Piene](/artist/otto-piene) and [Heinz Mack](/artist/heinz-mack), that fostered artistic discovery by promoting a new environment unconstrained by past artistic traditions. The “zero” in the name was not intended to have the negative connotations of nihilism or abjection but instead highlighted the group's affinities with [Minimalism](/gene/minimalism) and Italian [Arte Povera](/gene/arte-povera) in calling for simple forms and colors and expressions of light and using everyday materials. [Lucio Fontana](/artist/lucio-fontana), [Yves Klein](/artist/yves-klein), Hans Haacke, and [Piero Manzoni](/artist/piero-manzoni) were all notable members. ",FALSE
4d90d18fdcdd5f44a500002a,collage,Collage,Medium and Techniques,"Collage generally refers to two-dimensional works created from an assemblage of different materials, although the distinction between collage and [assemblage](/gene/assemblage) (which refers to three-dimensional works) can be quite fluid. Though long a popular pastime amongst scrapbookers, the technique’s art-historical beginnings are generally traced back to one of its earliest appearances in Western art: Pablo Picasso’s [_Still Life with Chair Caning_](/artwork/pablo-picasso-still-life-with-chair-caning) of 1912, which incorporated real-life objects into a work of art for the first time. In the collage, a printed oilcloth simulated chair caning and a piece of rope functioned as both a frame and the border of a café table. Collage was an assault on painting and its proposal of imaginary space as well as the proper materials of art. For example, [Kurt Schwitters](/artist/kurt-schwitters)' collages and assemblages brought the detritus of street life and modern life's [printed ephemera](/gene/printed-matter)—ticket stubs, newspapers, postage stamps—into the realm of high art. The development of collage in art ran parallel to experiments in poetry and literature in the early 20th century, where aesthetic principles of fragmentation, reassembly, and multiple meanings reflected the rapid societal and technological changes ushered in by modernism and urbanization.",FALSE
4d90d18fdcdd5f44a500002f,arte-povera,Arte Povera,Styles and Movements,"An Italian variant of Conceptualism during the late 1960s and early 1970s that was linked to the political radicalism of the period, which reached its zenith with the student uprisings of 1968. It was marked by an attempt to rescue individuals from the stifling effects of consumer culture and, according to Arte Povera pioneer Germano Celant, the group’s critical mouthpiece, the attempt to break down the separation between art and life. Arte Povera works were either happenings or sculptures that were created with unglamorous everyday materials and often displayed surprising juxtapositions. ",FALSE
4d90d190dcdd5f44a5000042,east-village-art,East Village Art,Styles and Movements,"The East Village scene, active in downtown New York in the early [1980s](/gene/1980s), comprised a group of incredibly diverse young artists. Encompassing music, poetry, writing, and the visual arts, the period saw the rise of [Punk](/gene/related-to-punk), No Wave, [graffiti art](/gene/graffiti-slash-street-art), and [Neo-Expressionist](/gene/neo-expressionism) painting. It also witnessed an explosion of galleries in the neighborhood, often run by the artists themselves, as well as alternative spaces and collectives. Social life and artistic life blurred, with artists making work directly on the street and clubs providing an important new type of venue for introducing novel forms of expression. The free-for-all of the East Village scene introduced a pantheon of big names, like [Jean-Michel Basquiat](/artist/jean-michel-basquiat), [Keith Haring](/artist/keith-haring), [Jenny Holzer](/artist/jenny-holzer), [Jeff Koons](/artist/jeff-koons), and [David Wojnarowicz](/artist/david-wojnarowicz), in addition to the musicians [Patti Smith](/artist/patti-smith), [Blondie](/tag/blondie), [Madonna](/tag/madonna-singer), [Sonic Youth](/tag/sonic-youth), and the Strokes. While no single style united these artists, their work often embraced [figuration](/gene/figurative-art), a notable development following the dominance of abstract art in prior decades. The East Village scene reached its peak from 1982 to 1984, responding to the Reaganomic boom of the 1980s, and by 1986 had run its course.
",FALSE
4d90d191dcdd5f44a5000052,luminism,Luminism,Styles and Movements,"An American movement active in the late 19th century&mdash;although identified with that label only in the 1950s, by the art historian John I. H. Baur&mdash;that was influenced by the [Hudson River School](/gene/hudson-river-school), emphasizing the painting of light in land- and seascapes.",FALSE
4d90d192dcdd5f44a5000060,pattern-and-decoration-movement,Pattern and Decoration Movement,Styles and Movements,"An American art movement that emerged in the 1970s in reaction to [Minimalism](/gene/minimalism) and [Conceptualism](/gene/conceptual-art). Championed by the New York gallery owner Holly Solomon and inspired by 1960s liberation politics, particularly feminism, as well as by African, Middle Eastern, and Asian art, these artists produced large paintings, fabric pieces, and sculptures emphasizing pattern and all-over decoration&mdash;traditionally secondary aspects of artmaking and virtually absent from the works being produced at the time.",FALSE
4d90d192dcdd5f44a500006f,socialist-realism,Socialist Realism,Styles and Movements,"The official, state-sanctioned style of the Soviet Union that dominated artistic practice from 1932 through the republic's demise. Artists such as Aleksandr Laktionov and Isaak Brodsky, among many others, sought to idealize the ""dictatorship of the proletariat"" in the arts and found precedents in the 19th century Realism of Russian painter Ilya Repin as well as the French [Gustave Courbet](/artist/gustave-courbet). The highly propagandistic style of Soviet Realism was specifically dictated by Soviet ministers as a truthful artistic portrayal combined with an ideological “remolding” of the toiling masses.",FALSE
4d90d18fdcdd5f44a500002e,art-nouveau,Art Nouveau,Styles and Movements,"An international movement that originated in the mid 1890s in Belgium and France and was known in other countries by other names, such as Jugendstil (Germany and Austria), Modernisme (Catalonia), and Tiffany style (United States). Practitioners sought to break with the past, creating a style of ornamentation applicable to architecture, interior design, and objects that was not based on Classical or Renaissance forms. Instead Japanese art was a particular influence, as were exotic flowers and plants. 
",FALSE
4d90d190dcdd5f44a5000032,bad-painting,"""Bad Painting""",Styles and Movements,"Arising in the late 1970s as a result of the the New Museum of Contemporary Art’s exhibition ""Bad Painting,"" curated by Marcia Tucker, the term refers to a predominantly figurative, purposely raw style of painting developed in reaction to the dominant [Minimalist](/gene/minimalism) and [Conceptualist](/gene/conceptual-art) schools, which lacked gesture and emotion.",FALSE
4d90d190dcdd5f44a500003a,color-field-painting,Color Field Painting,Styles and Movements,"A style characterized by large, highly simplified compositions in which the use of color is independent of line and figuration. The term stems from Clement Greenberg’s 1955 description of the paintings being made by [Barnett Newman](/artist/barnett-newman), [Clyfford Still](/artist/clyfford-still), and [Mark Rothko](/artist/mark-rothko) as comprising large fields of color. Historically, color-field painting represents one-half of [Abstract Expressionism](/gene/abstract-expressionism), with the ‘gestural abstraction’ of artists like [Jackson Pollock](/artist/jackson-pollock) and [Willem de Kooning](/artist/willem-de-kooning) representing the other half.",FALSE
4d90d190dcdd5f44a5000040,de-stijl,De Stijl,Styles and Movements,"A movement started by group of Dutch artists based in Amsterdam&mdash;the best known being [Piet Mondrian](/artist/piet-mondrian) and Theo van Doesburg&mdash;who sought to express an ideal of balance and harmony in both art and life and whose ideas were disseminated by the magazine _De Stijl_, launched by Van Doesburg in 1917. The major creative influence within the group was Mondrian, who in pursuit of a purer nonobjective abstraction (lacking a representational tie to any object or form) than that achieved in [Cubism](/gene/cubism), created reductive works composed of only straight lines, rectangles, and blocks of primary colors. The organizational principles and aesthetic look of Mondrian’s canvases are taken into three dimensions in De Stijl architecture, such as Gerrit Rietveld’s 1924 Schröder House, in Utrecht. The movement’s ideas had a pivotal role in the formation of Bauhaus practices and the emergence of the International Style.",FALSE
4d90d190dcdd5f44a5000046,folk-art,Folk Art,Styles and Movements,A contested label for works made by those with no formal training or those belonging to non-Western cultures.,FALSE
4d90d191dcdd5f44a500004e,impressionism,Impressionism,Styles and Movements,"A revolutionary 19th-century movement in French painting, lasting from roughly 1867 to 1886, that rebelled against the academic tradition’s historical subject matter and methods. Striving to capture the transient aspects of visual reality, especially light and color, Impressionists&mdash;the most familiar being [Claude Monet](/artist/claude-monet) and [Pierre Auguste Renoir](/artist/pierre-auguste-renoir)&mdash;emphasized firsthand observation of their subjects and focused on landscapes and everyday urban scenes. Like many subsequent avant-garde movements, it derived its name from a derisive label applied in a negative review. The 1874 Paris exhibition that introduced the group to the public contained Monet’s 1872 painting _Impression: Sunrise_, leading the critic Louis Leroy to coin the mocking term Impressionism, which the group co-opted. In the years following, Impressionism spread beyond France, most notably to Great Britain and the United States.",FALSE
4d90d191dcdd5f44a5000056,nabis,Nabis,Styles and Movements,"A group of influential 19th-century Post-Impressionists who, inspired by the work of [Paul Gauguin](/artist/paul-gauguin) and the [Symbolists](/gene/symbolism) as well as Japanese woodcuts, emphasized personal style and the capacities of painting over observed reality. Notable Nabis include Maurice Denis and [Pierre Bonnard](/artist/pierre-bonnard).
",FALSE
4d90d192dcdd5f44a5000061,photorealistic,Photorealistic,Medium and Techniques,"_""Perhaps because I’m sorry for the photograph, because it has such a miserable existence even though it is such a perfect picture, I would like to make it valid, make it visible—just make it […] That is why I keep painting on and on from photographs, because I can’t make it out, because the only thing to do with photographs is paint from them."" –[Gerhard Richter](/artist/gerhard-richter)_

Though it has come to refer generally to painting that emulates the look of photographs, typically with hyperrealistic clarity, the term ""photorealistic"" traces its roots to Photorealism, the American art movement of the 1960s and ’70s. An outgrowth of Pop Art, Photorealism is most closely associated with artists who replicate the highly-focused look of well-composed, sharply-focused photographs, such as [Chuck Close](/artist/chuck-close), [Richard Estes](/artist/richard-estes), and [Malcolm Morley](/artist/malcolm-morley). However, in Europe, artists like [Gerhard Richter](/artist/gerhard-richter) and [Franz Gertsch](artist/franz-gertsch) have likewise been referred to as photorealists, but for a different reason: the hazy quality and unexpected angles in their candid portraits resemble casual, often blurred snapshots. Today, artists who emulate the look of photographs make work in both ways (and in between), and as a result, push the boundaries of what constitutes a photorealistic image. Is it the crisp, extreme focus of a well-lit photograph, or the imitation of poor, faded, or murky photographic scenes?",FALSE
